label,path,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,/data_nas/huangyj/data/placePulse/rawData/googleviews-110802files/513d49cafdc9f03587002dd3.jpg,-1.65172,-2.9652424,3.0614817,-0.008185903,1.4668765,-1.1299812,-1.0134927,-1.1535375,-4.311316,-0.11882692,2.3275325,0.6548402,-3.247667,0.038810894,2.5088363,0.17824514,-1.6406676,1.282154,-0.48443446,-1.6904441,-1.6304111,0.92394555,-0.053651266,-2.2448752,-1.9673437,0.46024692,0.9175771,0.19451676,-2.171957,1.0049882,0.46881187,-1.0003043,-3.2320912,0.6041351,-1.3973598,-4.263016,-0.23670149,-0.9377069,-1.9753698,-1.7769057,1.57077,-2.3218403,-1.7807105,0.13928345,1.3805674,-1.8322331,-0.012293767,3.9105277,-1.9145585,-2.9181867
1,/data_nas/huangyj/data/placePulse/rawData/googleviews-110802files/513f2f93fdc9f0358700ddd3.jpg,-0.517162,-0.99142736,1.4460135,-0.31526545,0.5622814,-0.62879187,-0.84443104,-0.10640502,0.47889775,-0.020991707,1.0149846,0.57099676,-1.6992903,0.6865691,0.9935599,-0.47748718,-0.9394849,0.22910225,-0.59867275,-0.30042318,-0.7344505,-0.044085447,0.6053876,-0.4484594,-0.8222477,0.9556619,0.90126544,0.14878425,-0.89347285,-0.2867965,0.9561365,-1.4921725,-0.24527298,0.5693098,0.082228124,0.33216268,0.30744588,-0.38541606,-0.9458612,-0.7263594,1.2922655,-0.68125564,0.9043879,0.58381957,0.08007779,0.2217139,-0.49648732,-0.7834938,-0.87914324,-0.8865817
0,/data_nas/huangyj/data/placePulse/rawData/googleviews-110802files/5141371cfdc9f04926004ddc.jpg,-0.43338093,-1.3866593,0.6292371,0.11741057,2.4970307,-1.6699206,-1.8552551,-0.93623036,-5.9017878,-1.50259,0.5959817,1.5933958,-1.2023183,-0.8849932,1.6156155,1.9438137,0.4514947,3.0457659,-1.6734561,-0.4095534,-1.1656181,2.079805,0.2045851,-4.990832,0.19068569,-0.91185,1.4273974,-0.7574727,-1.147064,1.8547189,-1.8786516,1.8098972,-6.2567058,-1.6882238,-2.2550972,-5.596969,-0.6072242,0.12669793,-1.8804578,-0.9073352,-0.5604302,-0.4527542,-2.5099833,-2.3348513,1.7417065,-2.5317993,1.4624324,6.0957184,-3.3291998,-0.9424269
0,/data_nas/huangyj/data/placePulse/rawData/googleviews-110802files/5140b937fdc9f04926001ddc.jpg,0.17333537,-1.0939472,-0.026530795,-0.5037731,2.2378073,-1.7142036,-2.3921816,-0.22317079,-4.202966,-1.9113928,0.14982393,1.9170513,-0.46281007,-1.8196017,1.6515621,1.5466278,1.05833,2.082098,-2.0623083,0.34227148,-0.9606655,2.0954573,1.0549242,-4.634176,0.048657395,-2.0205147,2.182808,-1.2092327,-0.49425387,1.8756667,-1.3617052,3.1781886,-5.6748924,-2.068539,-1.8711146,-3.6239321,-1.4012418,-0.034940988,-1.0798981,-0.68508935,-2.094528,-0.09579748,-2.5614727,-3.257107,2.1517496,-1.7560705,1.1584818,4.488252,-2.5179114,-0.5725222
0,/data_nas/huangyj/data/placePulse/rawData/googleviews-110802files/5140da85fdc9f04926003ddf.jpg,-0.51578677,-1.7068928,0.899637,-0.44790113,2.3712535,-1.8709369,-2.2753882,-0.7486539,-5.369328,-1.6524713,0.8241706,1.7439669,-1.4102963,-1.4912429,2.0281706,1.5668702,0.32806984,2.4394052,-1.9223499,-0.3743433,-1.3519717,2.1967943,0.8902116,-4.753483,-0.43228543,-1.5682968,1.9955813,-0.92278486,-1.1485263,1.9635834,-1.1769613,2.2300532,-5.9666944,-1.6083336,-2.0669317,-4.9518747,-1.2705445,-0.2905972,-1.6518037,-1.1716425,-1.0231522,-0.8281459,-2.7906387,-2.5192106,2.1987233,-2.2973657,1.1535412,5.4777517,-2.9309292,-1.3016768
0,/data_nas/huangyj/data/placePulse/rawData/googleviews-110802files/513d6118fdc9f03587003dd5.jpg,0.14915444,0.6317315,-1.0161703,0.33598888,1.0926871,-1.34474,-1.4632155,-0.9687043,-2.8316326,-1.7712905,-0.5657746,1.8057626,0.021547597,0.37252715,-0.21073009,2.781584,0.6968873,4.0828714,-1.881175,0.04918319,-0.37480918,1.6139767,-0.03402154,-2.7492228,2.0805182,0.54926753,0.7525158,-1.1122675,-0.41628355,0.98226774,-3.2328444,-0.08160433,-3.1395483,-2.598602,-1.7885278,-2.8379297,0.6375116,1.864894,-0.78921366,0.84658617,0.7719696,1.226352,0.1634406,-0.99325824,-0.015270393,-0.7463966,2.3275065,3.0526493,-3.8244402,1.2152861
1,/data_nas/huangyj/data/placePulse/rawData/googleviews-110802files/513d7c26fdc9f03587006ddb.jpg,1.0393953,0.5629397,-0.4510334,0.67879707,-2.115627,0.31745148,0.028459879,0.86725116,-0.64404887,0.3547989,-1.3884476,0.22143798,-0.10595467,1.5173297,0.052096333,-0.37890536,0.7449165,0.3249219,0.09692656,0.7555603,0.42312446,-0.6603077,-0.69639117,2.1556332,0.99124223,1.7513692,-0.24654642,0.5619043,0.4280262,-0.67503333,0.3924483,-4.779607,1.6886419,-0.30629528,0.39362285,-0.90440375,1.4585363,-0.0012415927,1.020502,-0.781036,4.0954013,1.225271,1.1661897,3.1606472,-1.0126047,-0.13444032,0.09331141,0.24552664,-0.52203876,1.2092924
0,/data_nas/huangyj/data/placePulse/rawData/googleviews-110802files/513d60b5fdc9f03587003d61.jpg,-1.4572239,-1.2611246,1.7886013,-0.54529065,1.6804038,-2.1971383,-2.0976725,-1.4498196,-4.3439646,-1.2287016,1.2973251,1.4897425,-2.5032985,-0.05329535,1.5037595,1.6209898,-0.87461466,3.292775,-2.0644572,-1.0921468,-1.692248,2.0227559,1.1369153,-3.3622801,-0.26684624,0.06744598,1.6304362,-0.30822024,-1.8736304,1.2305176,-0.6831661,-1.0125376,-4.0251646,-0.80630016,-1.455281,-4.551904,-0.45268017,-0.17086735,-2.169601,-1.3874327,1.9555049,-1.1326337,-0.8809751,0.0527942,1.164209,-1.9379297,1.2377304,4.0263906,-4.0382156,-1.047326
0,/data_nas/huangyj/data/placePulse/rawData/googleviews-110802files/50f5ead0fdc9f065f0007d6c.jpg,-0.93713206,-2.7455387,2.4815156,0.19423869,-1.162949,-0.4946922,-0.5830355,-0.4878321,-2.8960888,0.012382348,1.5629876,0.6749322,-2.8072066,0.18763943,2.4105651,-0.19611472,-1.3448852,0.5206489,0.047178403,-1.4490243,-1.129043,0.28544253,-0.58164364,1.2845253,-1.842048,0.87132263,0.6064866,0.044867914,-1.5049669,0.8044781,0.53377897,-3.104966,0.1439053,0.2011693,-1.197033,-2.7164023,0.114937715,-0.4559407,0.12906337,-1.2380221,2.9683125,-1.7373003,-1.4437945,1.8123947,0.8948149,-0.6816489,0.020701457,2.3213632,-0.80074656,-2.4002128
0,/data_nas/huangyj/data/placePulse/rawData/googleviews-110802files/50f5e690fdc9f065f0006d6a.jpg,-1.8014276,-3.2274983,3.0206635,-0.40499547,2.3845901,-1.7320037,-1.7224841,-1.3927823,-5.2259064,-0.7850112,2.5488372,1.1537727,-3.2347767,-0.8321837,2.8555467,0.7491443,-1.4332385,1.840448,-1.1489308,-1.6916867,-2.007376,1.6902715,0.531226,-3.8716564,-2.0503576,-0.5506629,1.6083851,-0.2961936,-2.3503604,1.6792369,-0.05126989,0.92996794,-5.011834,0.0010059569,-1.945948,-4.97185,-0.9835585,-0.86438996,-2.3731813,-1.7367299,0.10720706,-2.5031352,-2.6911716,-1.414533,2.1518073,-2.2329464,0.34582028,4.991078,-2.5499644,-3.15756
